Date,MS,HYUNDAI,TATA,MAHINDRA,flag
2011,997281,373709,296698,202694,0
2012,1063599,391276,290428,266218,0
2013,1063964,380002,141655,242405,0
2014,1152123,411456,127118,214467,0
2015,1289128,476001,138244,213953,0
2016,1394972,500537,142962,231097,0
2017,1602522,527320,169845,229508,0
2018,1731179,550002,214489,232188,0
2019,1485943,510260,152944,219682,0
2020,1213660,423642,170151,136500,0
2021,1622668.267,538325.2936,157498.7995,216135.5342,1
2022,1671385.773,550712.273,163078.3685,218241.7977,1
2023,1715582.598,561823.2803,174287.8924,213971.1819,1
2024,1737036.368,564984.1644,176432.3716,212672.7094,1
2025,1747139.473,565613.1749,174814.6751,212627.2827,1
