,text,start,duration,VideoId
0,now who hasn't fantasized about owning,14.41,5.74,FmHI0ar0EvE
1,or driving a Maruti Suzuki gypsy it's,17.15,5.129,FmHI0ar0EvE
2,better timeless icon of ruggedness and,20.15,4.08,FmHI0ar0EvE
3,all the years Marty has tried to,22.279,3.721,FmHI0ar0EvE
4,recreate the magic in more premium,24.23,4.2,FmHI0ar0EvE
5,segments like with the Grand Vitara but,26.0,5.64,FmHI0ar0EvE
6,nothing quite clicked but the Vdara name,28.43,5.28,FmHI0ar0EvE
7,is coming back to the indian market with,31.64,4.83,FmHI0ar0EvE
8,this the vitara brezza and is playing in,33.71,5.01,FmHI0ar0EvE
9,a price segment that maruti knows very,36.47,4.92,FmHI0ar0EvE
10,very so can the vitara brezza be the,38.72,5.61,FmHI0ar0EvE
11,eighth SUV as in the car that can get,41.39,5.37,FmHI0ar0EvE
12,indians craving for an SUV from maruti,44.33,6.71,FmHI0ar0EvE
13,suzuki once more let's find out,46.76,4.28,FmHI0ar0EvE
14,well first impressions the stance and,55.7,5.14,FmHI0ar0EvE
15,proportions of the brezza are great the,58.62,3.9,FmHI0ar0EvE
16,flat waistline and the contrasting,60.84,4.32,FmHI0ar0EvE
17,colors give it a bit more presence but,62.52,4.56,FmHI0ar0EvE
18,it is a rather simple and functional,65.16,4.23,FmHI0ar0EvE
19,design but then adding some spice to the,67.08,4.89,FmHI0ar0EvE
20,package other details the bold chrome,69.39,4.71,FmHI0ar0EvE
21,grille gives it a strong look while the,71.97,3.87,FmHI0ar0EvE
22,large air dam and the sculpted bumper,74.1,4.26,FmHI0ar0EvE
23,gives it a slightly sporty look and the,75.84,4.29,FmHI0ar0EvE
24,bullhorn like daytime running lights,78.36,4.32,FmHI0ar0EvE
25,offered on the CDI variants add a bit of,80.13,5.16,FmHI0ar0EvE
26,friendliness to the package of course,82.68,4.52,FmHI0ar0EvE
27,the floating roof is a great highlight,85.29,3.6,FmHI0ar0EvE
28,especially when it's done in the,87.2,4.51,FmHI0ar0EvE
29,contrast white color option styling at,88.89,5.25,FmHI0ar0EvE
30,the rear isn't radical but the split day,91.71,4.14,FmHI0ar0EvE
31,lights with the bullhorn light guides,94.14,4.02,FmHI0ar0EvE
32,and the embossed chrome bar looked quite,95.85,4.79,FmHI0ar0EvE
33,smart,98.16,2.48,FmHI0ar0EvE
34,now Marty you've played safe on the,106.43,4.45,FmHI0ar0EvE
35,exterior design and on the interior,108.719,3.781,FmHI0ar0EvE
36,design you can look at this - it's,110.88,4.379,FmHI0ar0EvE
37,pretty simple straightforward but yes,112.5,4.92,FmHI0ar0EvE
38,it's smart so interesting touches are,115.259,4.831,FmHI0ar0EvE
39,these textures for the - top and well,117.42,4.86,FmHI0ar0EvE
40,the instrument cluster here has this,120.09,4.5,FmHI0ar0EvE
41,square it'll shape for the dials it's a,122.28,4.379,FmHI0ar0EvE
42,combination of square and circle Martha,124.59,3.419,FmHI0ar0EvE
43,made that dome up pretty cool though,126.659,4.11,FmHI0ar0EvE
44,because it's got backlight which you can,128.009,4.23,FmHI0ar0EvE
45,adjust according to the color of your,130.769,3.031,FmHI0ar0EvE
46,car so it's pretty funky that way and,132.239,3.931,FmHI0ar0EvE
47,that aside my favorite bit of the dash,133.8,4.59,FmHI0ar0EvE
48,has to be the center console it's simple,136.17,4.26,FmHI0ar0EvE
49,smart and buttons here for the aircon,138.39,2.459,FmHI0ar0EvE
50,wins,140.43,2.369,FmHI0ar0EvE
51,work really nicely feel very nicely,140.849,4.231,FmHI0ar0EvE
52,damped and that aside of course this,142.799,4.171,FmHI0ar0EvE
53,with our reserve the top-end variant is,145.08,5.42,FmHI0ar0EvE
54,very well equipped,146.97,3.53,FmHI0ar0EvE
55,well you have a push button start stop,150.95,4.319,FmHI0ar0EvE
56,for the engine cruise control automatic,153.379,4.741,FmHI0ar0EvE
57,headlamps part folding or rpms and,155.269,5.401,FmHI0ar0EvE
58,rain-sensing wipers on the stop and trim,158.12,4.589,FmHI0ar0EvE
59,there's also a large touch screen that,160.67,4.11,FmHI0ar0EvE
60,acts as the infotainment Center and,162.709,4.471,FmHI0ar0EvE
61,offers apple's carplay amongst its,164.78,4.739,FmHI0ar0EvE
62,connectivity options the bright touch,167.18,4.169,FmHI0ar0EvE
63,screen is also used for the reversing,169.519,3.991,FmHI0ar0EvE
64,camera and the navigation system but,171.349,5.011,FmHI0ar0EvE
65,this is only offered on a zi+ variant,173.51,7.08,FmHI0ar0EvE
66,there's plenty of storage in the cabin,176.36,8.19,FmHI0ar0EvE
67,and it also has this nifty undersea tree,180.59,6.57,FmHI0ar0EvE
68,on the safety front marty is offering a,184.55,5.43,FmHI0ar0EvE
69,driver airbag as standard across all the,187.16,5.46,FmHI0ar0EvE
70,variants while abs and a passenger side,189.98,6.0,FmHI0ar0EvE
71,airbag is an option on the L di and VDI,192.62,5.82,FmHI0ar0EvE
72,variants while this is standard on the,195.98,5.42,FmHI0ar0EvE
73,zti variants,198.44,2.96,FmHI0ar0EvE
74,now whether brother really scores is in,202.43,4.41,FmHI0ar0EvE
75,terms of sense of space in the cabinet,204.8,4.14,FmHI0ar0EvE
76,you've got great glass area feels very,206.84,3.99,FmHI0ar0EvE
77,roomy because of that but it isn't just,208.94,4.32,FmHI0ar0EvE
78,that it's the cabin width it just makes,210.83,4.62,FmHI0ar0EvE
79,it feel so nice and spacious three,213.26,4.35,FmHI0ar0EvE
80,abreast not a problem that aside you can,215.45,3.539,FmHI0ar0EvE
81,see how much new means there on offer,217.61,3.03,FmHI0ar0EvE
82,here the driver's seat is set in my,218.989,3.871,FmHI0ar0EvE
83,position so even taller passengers can,220.64,4.41,FmHI0ar0EvE
84,be accommodated here and there's plenty,222.86,4.47,FmHI0ar0EvE
85,of headroom the only area where I feel,225.05,3.15,FmHI0ar0EvE
86,they could have done a little bit better,227.33,2.64,FmHI0ar0EvE
87,would have been in terms of offering,228.2,3.96,FmHI0ar0EvE
88,better under thigh support and one thing,229.97,3.989,FmHI0ar0EvE
89,missing of course is that there are no,232.16,7.29,FmHI0ar0EvE
90,aircon vents here for the rear and then,233.959,7.86,FmHI0ar0EvE
91,it was time to check out the 328 litre,239.45,5.46,FmHI0ar0EvE
92,boot now in terms of numbers the boot,241.819,5.821,FmHI0ar0EvE
93,space might not seem like much but lift,244.91,5.1,FmHI0ar0EvE
94,this open and you'll find a healthy,247.64,4.44,FmHI0ar0EvE
95,sized boot and importantly it's well,250.01,4.02,FmHI0ar0EvE
96,shaped there's a lot of width so getting,252.08,3.87,FmHI0ar0EvE
97,two suitcases in here just lie them down,254.03,3.929,FmHI0ar0EvE
98,flat I think one big one small you could,255.95,3.689,FmHI0ar0EvE
99,manage that but if you want to expand,257.959,3.451,FmHI0ar0EvE
100,the boot space there's a really nice,259.639,3.391,FmHI0ar0EvE
101,little touch here on the vitara brezza,261.41,4.64,FmHI0ar0EvE
102,check this out,263.03,3.02,FmHI0ar0EvE
103,just a few simple tugs and in under a,287.86,5.559,FmHI0ar0EvE
104,minute you'll get a nice extended flat,290.84,5.479,FmHI0ar0EvE
105,boot flow,293.419,2.9,FmHI0ar0EvE
106,finally it was time to pay attention to,296.83,5.28,FmHI0ar0EvE
107,what is packed and the press's hood the,299.229,6.93,FmHI0ar0EvE
108,DD is 200 engine this is the 1.3 liter,302.11,7.38,FmHI0ar0EvE
109,turbo diesel producing 89 bhp and a,306.159,5.16,FmHI0ar0EvE
110,strong twenty point four kilograms of,309.49,4.1,FmHI0ar0EvE
111,tall,311.319,2.271,FmHI0ar0EvE
112,you,323.75,2.06,FmHI0ar0EvE
113,it's a familiar feature of this 1.3,326.29,4.29,FmHI0ar0EvE
114,liter diesel engine that we've seen on,328.84,4.17,FmHI0ar0EvE
115,Mount Isa zooty's that you get a fair,330.58,3.9,FmHI0ar0EvE
116,amount of turbo lag low down in the rev,333.01,3.09,FmHI0ar0EvE
117,range and then there's a sudden rush of,334.48,5.01,FmHI0ar0EvE
118,power but things are little bit better,336.1,4.65,FmHI0ar0EvE
119,here on the vitara brezza because the,339.49,3.27,FmHI0ar0EvE
120,gearing is really quite smart so even,340.75,4.05,FmHI0ar0EvE
121,when the speeds in the revs drop you do,342.76,3.99,FmHI0ar0EvE
122,get a decent amount of drivability to,344.8,3.96,FmHI0ar0EvE
123,ambling around the city shouldn't be,346.75,3.87,FmHI0ar0EvE
124,difficult unless and until you really,348.76,5.66,FmHI0ar0EvE
125,let the rev strong,350.62,3.8,FmHI0ar0EvE
126,while to change base you can rely on the,356.169,4.141,FmHI0ar0EvE
127,light action of the clutch while the,358.599,4.111,FmHI0ar0EvE
128,5-speed gearbox it was just a little bit,360.31,6.05,FmHI0ar0EvE
129,of muscle to get the shifts done,362.71,3.65,FmHI0ar0EvE
130,"get past 2,000 rpm and get ready for",367.11,5.7,FmHI0ar0EvE
131,that slug of God and it feels really,370.08,4.23,FmHI0ar0EvE
132,nice as you see the revenue to shoot,372.81,4.02,FmHI0ar0EvE
133,past 3000 rpm the other good thing is,374.31,5.43,FmHI0ar0EvE
134,that the revs don't just die out you can,376.83,5.73,FmHI0ar0EvE
135,actually use it to past four thousand to,379.74,4.2,FmHI0ar0EvE
136,about four and a half thousand rpm quite,382.56,4.05,FmHI0ar0EvE
137,nicely and that makes this quite a nice,383.94,9.93,FmHI0ar0EvE
138,engine for the highway the brezza in,386.61,10.97,FmHI0ar0EvE
139,fact boasts of a 5300 RPM rev limiter,393.87,6.599,FmHI0ar0EvE
140,that's quite high for a diesel car as,397.58,4.839,FmHI0ar0EvE
141,you spend more time behind the wheel of,400.469,4.5,FmHI0ar0EvE
142,the brezza one subtle sense tends to,402.419,5.271,FmHI0ar0EvE
143,grow on you,404.969,2.721,FmHI0ar0EvE
144,in some ways the vitara brezza feels,408.29,5.04,FmHI0ar0EvE
145,very European and that really shouldn't,410.66,5.01,FmHI0ar0EvE
146,come as a surprise because it is based,413.33,4.95,FmHI0ar0EvE
147,on a modified platform that's used on,415.67,3.9,FmHI0ar0EvE
148,the European Vdara,418.28,3.21,FmHI0ar0EvE
149,take the right quality for instance it,419.57,4.23,FmHI0ar0EvE
150,has a hint of firmness to it and in my,421.49,4.23,FmHI0ar0EvE
151,books on the whole it's not a bad thing,423.8,3.72,FmHI0ar0EvE
152,yeah you do feel a little bit of the,425.72,3.63,FmHI0ar0EvE
153,road surface creep into the cabin and,427.52,4.02,FmHI0ar0EvE
154,some bumps might come through but on the,429.35,3.87,FmHI0ar0EvE
155,world right quality is really quite,431.54,4.32,FmHI0ar0EvE
156,absorbent suspension work silently so,433.22,5.13,FmHI0ar0EvE
157,the cabin does CARICOM the good part,435.86,4.47,FmHI0ar0EvE
